Year,Make,Model,Trim,VIN,"Stock Number",Mileage,"Online Price","Sale Price",MSRP,"Exterior Color","Interior Color","Body Style",Doors,"Engine HP",Cylinders,"Fuel Type",Transmission,"Drive Type",Description,"Inventory Type"
2026,BMW,"X5 sDrive40i",,,X5BMW,7500,0,,0,Black,Black,,,,,,,,"2026 BMW X5 sDrive 40i ($72,750 MSRP) available for lease in Southern California. Based on a 39-month lease, 7,500 miles per year, $4,000 due at signing at a payment of $829+ tax. Requires tier 1 credit approval and BMW Loyalty (+$30 per month without loyalty). Inquire for colors. *Not actual vehicle pictured*",lease
2025,Audi,"A3 Premium",,,A3Premium,7500,0,,0,Unknown,Unknown,,,,,,,,"2025 Audi A3 Premium ($41,195 MSRP) available for lease in Southern California. Based on a 36-month lease, 7,500 miles per year, $4,000 due at signing at a payment of $449+ tax. Requires tier 1 credit. Inquire for colors. *Not actual vehicle pictured*",lease
2025,Audi,"A5 Premium",,,A5AUDI,7500,0,,0,Unknown,Unknown,,,,,,,,"2025 Audi A5 Premium ($53,685 MSRP) available for lease in Southern California. Based on a 36-month lease, 7,500 miles per year, $4,000 due at signing at a payment of $499+ tax. Requires tier 1 credit approval. Inquire for colors. *Not actual vehicle pictured*",lease
2025,Audi,"Q5 Premium",,,Q5AUDI,7500,0,,0,Unknown,Unknown,,,,,,,,"2025 Audi Q5 Premium ($57,625 MSRP) available for lease in Southern California. Based on a 36-month lease, 7,500 miles per year, $4,000 due at signing at a payment of $609+ tax. Requires tier 1 credit approval. Inquire for colors. *Not actual vehicle pictured*",lease
2025,BMW,330i,,,330iBMW,7500,0,,0,Black,Black,,,,,,,,"2025 BMW 330i ($51,295 MSRP) available for lease in Southern California. Based on a 39-month lease, 7,500 miles per year, $4,000 due at signing at a payment of $429+ tax. Requires tier 1 credit approval and BMW Loyalty (+$30 per month without loyalty). Inquire for colors. *Not actual vehicle pictured*",lease
2025,BMW,"X3 30",,,BMW004,7500,0,,0,Black,Black,,,,,,,,"2025 BMW X3 30 xDrive ($57,085 MSRP) available for lease in Southern California. Based on a 39-month lease, 7,500 miles per year, $4,000 due at signing at a payment of $559+ tax. Requires tier 1 credit approval and BMW Loyalty (+$15 per month without loyalty). Inquire for colors. *Not actual vehicle pictured*",lease
2025,BMW,"X7 xDrive40i",,,X7BMW,0,0,,0,Black,Black,,,,,,,,"2025 BMW X7 xDrive40i ($93,925 MSRP) available for lease in Southern California. Based on a 39-month lease, 7,500 miles per year, $4,500 due at signing at a payment of $999+ tax. Requires tier 1 credit approval and BMW Loyalty (+$30 per month without loyalty). Inquire for colors. *Not actual vehicle pictured*",lease
2025,Mercedes-Benz,C300,,,C300,7500,0,,0,Black,Unknown,,,,,,,,"2025 Mercedes-Benz C300 ($49,795 MSRP) available for lease in Southern California. Based on a 24-month lease, 7,500 miles per year, $4,000 due at signing at a payment of $349+ tax. Requires tier 1 credit approval. Inquire for colors. *Not actual vehicle pictured*",lease
2025,Toyota,"Tacoma SR5 4x2",,,TOY009,0,0,,0,Unknown,Unknown,,,,,,,,"2025 Toyota Tacoma SR5 5-ft bed Double Cab 4x2 ($39,474 MSRP) available for lease in Southern California. Based on a 24-month lease, 12k miles per year, $3,000 due at signing at a payment of $229+ tax. Requires tier 1 credit approval. Inquire for colors. *Not actual vehicle pictured*",lease
2025,Toyota,"Tacoma SR5 4x4",,,TOY010,0,0,,0,Unknown,Unknown,,,,,,,,"2025 Toyota Tacoma SR5 5-ft bed Double Cab 4x4 ($42,414 MSRP) available for lease in Southern California. Based on a 24-month lease, 12k miles per year, $3,000 due at signing at a payment of $249+ tax. Requires tier 1 credit approval. Inquire for colors. *Not actual vehicle pictured*",lease
